C (F/m),C1 (F/m),C2 (F/m),C3 (F/m),C4 (F/m)
2.83E-09,5.24E-11,1.62E-10,4.50E-10,1.35E-10
3.05E-09,5.66E-11,1.75E-10,4.86E-10,1.46E-10
3.27E-09,6.07E-11,1.88E-10,5.21E-10,1.56E-10
3.49E-09,6.48E-11,2.00E-10,5.57E-10,1.67E-10
3.72E-09,6.90E-11,2.13E-10,5.92E-10,1.77E-10
3.94E-09,7.31E-11,2.26E-10,6.27E-10,1.88E-10
4.16E-09,7.72E-11,2.39E-10,6.63E-10,1.99E-10
4.39E-09,8.13E-11,2.51E-10,6.98E-10,2.09E-10
4.61E-09,8.55E-11,2.64E-10,7.34E-10,2.20E-10
4.83E-09,8.96E-11,2.77E-10,7.69E-10,2.30E-10
